video_id,title_negative,title_neutral,title_positive,title_rate,tags_negative,tags_neutral,tags_positive,tags_rate
9v_rtaye2yY,0.0,100.0,0.0,Neutral,0.0,100.0,0.0,Neutral
9vlKOFd73XM,0.0,100.0,0.0,Neutral,6.9,87.9,5.2,Negative
9wD5OsJM-Pc,16.900000000000002,63.4,19.7,Positive,11.899999999999999,74.3,13.900000000000002,Positive
9wRQljFNDW8,15.2,84.8,0.0,Negative,6.4,71.6,22.0,Positive
9wg3v-01yKQ,0.0,100.0,0.0,Neutral,0.0,100.0,0.0,Neutral
9x8JN8zDqis,0.0,100.0,0.0,Neutral,0.0,100.0,0.0,Neutral
9xSx-5tmq44,0.0,100.0,0.0,Neutral,0.0,100.0,0.0,Neutral
9yDNAc8YS9c,0.0,100.0,0.0,Neutral,0.0,100.0,0.0,Neutral
9yWnVxe1qp8,23.1,76.9,0.0,Negative,7.5,87.3,5.2,Negative
9ymjcSvEyhk,0.0,100.0,0.0,Neutral,16.6,78.5,4.8,Negative
A-JtybJbVbA,0.0,100.0,0.0,Neutral,0.0,100.0,0.0,Neutral
A0FZIwabctw,0.0,100.0,0.0,Neutral,0.0,100.0,0.0,Neutral
A2dIL4sf4TQ,0.0,100.0,0.0,Neutral,0.0,100.0,0.0,Neutral
A34O0pCAQ60,0.0,100.0,0.0,Neutral,10.4,89.60000000000001,0.0,Negative
A34u94sPuKg,0.0,100.0,0.0,Neutral,6.800000000000001,78.10000000000001,15.1,Positive
A3_c-aSZF5M,0.0,100.0,0.0,Neutral,0.0,94.3,5.7,Positive
A4cASDml7Vk,38.5,61.5,0.0,Negative,46.9,43.4,9.700000000000001,Negative
A6-P1-xxF9Y,0.0,50.0,50.0,Positive,0.0,71.1,28.9,Positive
A637CH916wY,27.3,72.7,0.0,Negative,8.7,78.7,12.6,Positive
A6owSHYjOiE,0.0,100.0,0.0,Neutral,0.0,83.7,16.3,Positive
A8HLnDP6uRM,0.0,100.0,0.0,Neutral,6.1,66.5,27.500000000000004,Positive
A8QY1IRPGTY,24.7,75.3,0.0,Negative,11.3,88.7,0.0,Negative
A9QDgSTVhyM,40.2,59.8,0.0,Negative,21.5,49.4,29.099999999999998,Positive
A9R5tJPbcKI,0.0,80.5,19.5,Positive,5.0,64.4,30.599999999999998,Positive
A9YcrloL3oE,0.0,100.0,0.0,Neutral,0.0,71.89999999999999,28.1,Positive
A9k89DYdHKQ,42.0,57.99999999999999,0.0,Negative,13.200000000000001,86.8,0.0,Negative
AAbtGz8dHKc,0.0,78.9,21.099999999999998,Positive,0.0,100.0,0.0,Neutral
AB_u_kOSP8Y,0.0,68.7,31.3,Positive,0.0,84.0,16.0,Positive
ACHZrvF6mTA,15.6,65.60000000000001,18.9,Positive,8.6,81.10000000000001,10.4,Positive
AEAHRq62p3Q,0.0,100.0,0.0,Neutral,0.0,100.0,0.0,Neutral
